Wellname,X (meters),Y (meters),Column3,Column4
Bul-82_OH,525514.3125,1559897.75,14°06′15.69″N,119°14′15.57″E
Bul-85_OH,519987.625,1558500.0,14°05′30.36″N,119°11′11.28″E
Bul-87_OH,520008.5938,1558514.5,14°05′30.83″N,119°11′11.98″E
Bul-94_OH,525582.0,1559111.0,14°05′50.09″N,119°14′17.8″E
Bul-98_OH,525521.0,1559471.0,14°06′01.8″N,119°14′15.78″E
Bul-01_OH,523561.9375,1559561.5,14°06′04.81″N,119°13′10.47″E
Bul-03A_OH,523228.5313,1559950.25,14°06′17.47″N,119°12′59.37″E
Bul-04_OH,522668.25,1558669.375,14°05′35.8″N,119°12′40.65″E
Bul-06_OH,523035.5313,1559524.5,14°06′03.62″N,119°12′52.92″E
Bul-07_OH,523720.5938,1560000.125,14°06′19.07″N,119°13′15.78″E
Bul-08_OH,523011.6875,1559001.0,14°05′46.58″N,119°12′52.11″E
Bul-09_OH,523198.0625,1560455.125,14°06′33.9″N,119°12′58.37″E
Bul-10_OH,523440.4375,1558774.75,14°05′39.21″N,119°13′06.4″E
Bul-11_OH,523256.5625,1559247.5,14°05′54.6″N,119°13′00.28″E
Bul-13_OH,523616.2813,1559177.5,14°05′52.31″N,119°13′12.27″E
Bul-14_OH,522942.75,1559253.375,14°05′54.8″N,119°12′49.82″E
Bul-15_OH,523440.5313,1557949.0,14°05′12.34″N,119°13′06.38″E
Bul-16_OH,522706.625,1559284.0,14°05′55.8″N,119°12′41.95″E
Bul-18_OH,522728.875,1557964.75,14°05′12.87″N,119°12′42.65″E
Bul-21_OH,524033.3438,1558705.375,14°05′36.94″N,119°13′26.16″E
Bul-26_OH,524062.9688,1558699.125,14°05′36.73″N,119°13′27.15″E
Bul-27_OH,523597.8438,1559358.75,14°05′58.21″N,119°13′11.66″E
Bul-28_OH,523626.3438,1560441.125,14°06′33.43″N,119°13′12.65″E
Bul-29_OH,524790.5625,1558674.125,14°05′35.9″N,119°13′51.41″E
Bul-34_OH,524551.375,1559524.125,14°06′03.56″N,119°13′43.46″E
Bul-35_OH,524002.625,1558711.125,14°05′37.12″N,119°13′25.14″E
Bul-36_OH,524105.0625,1559391.75,14°05′59.27″N,119°13′28.57″E
Bul-38_OH,523767.4375,1558262.0,14°05′22.52″N,119°13′17.28″E
Bul-39_OH,523330.7813,1558991.0,14°05′46.25″N,119°13′02.75″E
Bul-41_OH,524226.875,1559196.625,14°05′52.91″N,119°13′32.63″E
Bul-44_OH,523459.9063,1558798.125,14°05′39.97″N,119°13′07.05″E
Bul-46_OH,523702.4375,1558060.5,14°05′15.96″N,119°13′15.11″E
Bul-47_OH,524129.4688,1559373.625,14°05′58.68″N,119°13′29.39″E
Bul-49_OH,523718.0,1558499.875,14°05′30.26″N,119°13′15.64″E
Bul-52_OH,524252.1875,1559213.75,14°05′53.47″N,119°13′33.47″E
Bul-53_OH,523258.6563,1558738.375,14°05′38.03″N,119°13′00.34″E
Bul-55_OH,523036.5625,1558574.375,14°05′32.7″N,119°12′52.93″E
Bul-59_OH,524413.6875,1558460.875,14°05′28.97″N,119°13′38.83″E
Bul-60_OH,523199.375,1559374.875,14°05′58.74″N,119°12′58.38″E
Bul-65_OH,523043.5313,1559553.625,14°06′04.57″N,119°12′53.19″E
Bul-66_OH,522426.5,1559285.5,14°05′55.86″N,119°12′32.61″E
Bul-67_OH,522441.0313,1559298.125,14°05′56.27″N,119°12′33.1″E
Bul-70_OH,523725.3438,1558527.75,14°05′31.16″N,119°13′15.89″E
Bul-71_OH,523425.375,1559819.625,14°06′13.21″N,119°13′05.93″E
Bul-72_OH,523475.5,1558808.125,14°05′40.3″N,119°13′07.57″E
Bul-74_OH,523907.0625,1558745.75,14°05′38.25″N,119°13′21.95″E
Bul-76_OH,522684.5,1560497.25,14°06′35.28″N,119°12′41.25″E
Bul-79_OH,523889.0938,1558750.125,14°05′38.4″N,119°13′21.35″E
Bul-80_OH,523600.6563,1559383.75,14°05′59.02″N,119°13′11.76″E
Bul-83_OH,524135.0313,1558406.5,14°05′27.21″N,119°13′29.54″E
Bul-84_OH,523407.6563,1559837.125,14°06′13.78″N,119°13′05.34″E
Bul-86_OH,523765.25,1558287.75,14°05′23.35″N,119°13′17.21″E
Bul-88_OH,523209.4375,1559967.0,14°06′18.01″N,119°12′58.73″E
Bul-89_OH,523676.25,1558939.875,14°05′44.58″N,119°13′14.26″E
Bul-91_OH,523716.3438,1560025.25,14°06′19.89″N,119°13′15.63″E
Bul-92,523140.8438,1558160.625,14°05′19.24″N,119°12′56.39″E
Bul-93_OH,523718.75,1558079.625,14°05′16.58″N,119°13′15.66″E
Bul-96_OH,523350.0,1558351.0,14°05′25.42″N,119°13′03.37″E
Bul-97_OH,523707.375,1558909.875,14°05′43.6″N,119°13′15.3″E
Bul-99_OH,522931.0,1559226.0,14°05′53.91″N,119°12′49.43″E
Bul-100_OH,523566.3125,1559548.5,14°06′04.38″N,119°13′10.62″E
Bul-101_OH,523034.0,1559522.0,14°06′03.54″N,119°12′52.87″E
Bul-102_OH,523258.4063,1558748.75,14°05′38.37″N,119°13′00.33″E
Bul-103_OH,523350.0,1559007.0,14°05′46.77″N,119°13′03.39″E
Bul-104_OH,523553.1875,1559549.875,14°06′04.43″N,119°13′10.18″E
Bul-105_OH,523544.5,1559539.0,14°06′04.08″N,119°13′09.89″E
Bul-106_OH,523535.8125,1559528.0,14°06′03.72″N,119°13′09.6″E
Bul-107_OH,523527.0938,1559517.0,14°06′03.36″N,119°13′09.31″E
Bul-108_OH,522714.8125,1559290.5,14°05′56.01″N,119°12′42.22″E
Bul-109_OH,523558.8438,1559536.125,14°06′03.98″N,119°13′10.37″E
Bul-109L,523558.8438,1559536.125,14°06′03.98″N,119°13′10.37″E
Bul-110,523550.1563,1559525.125,14°06′03.62″N,119°13′10.08″E
Bul-111_OH,523541.4688,1559514.125,14°06′03.27″N,119°13′09.79″E
Bul-112_OH,523019.7188,1558994.125,14°05′46.36″N,119°12′52.38″E
Bul-113,523030.875,1559003.0,14°05′46.65″N,119°12′52.75″E
